A-04-10-2;5;S-02-10-5;
A-04-10-3;1;K-11-08-1;
A-04-10-4;1;S-08-04-9;
A-04-10-5;2;B-02-05-5;
A-04-10-6;4;L-14-03-7;
A-04-10-7;3;L-12-07-5;
A-04-10-8;13;I-05-07-2;
A-04-10-9;1;L-11-06-4;
A-04-11-1;9;E-07-07-9;
A-04-11-2;8;E-04-09-5;
A-04-11-3;4;E-04-09-9;
A-04-11-4;1;E-04-09-6;
A-04-11-5;2;J-09-04-9;
A-04-11-6;1;E-04-09-7;
A-04-11-7;10;E-07-07-3;
A-04-11-8;9;E-07-07-8;
A-04-11-9;3;E-04-10-4;
A-05-01-1;2;J-04-02-8;
A-05-01-2;5;H-08-07-2;
A-05-01-4;1;K-04-01-1;
A-05-01-5;5;E-04-06-6;
A-05-01-5;10;E-04-06-6;
A-05-01-6;1;H-09-08-8;
A-05-01-7;5;L-04-05-8;
A-05-01-8;19;G-06-09-9;
A-05-01-9;1;K-02-04-6;
A-05-02-1;2;L-14-07-8;
A-05-02-2;2;L-05-03-3;
A-05-02-2;2;L-05-03-3;
A-05-02-3;5;J-14-03-2;
A-05-02-4;3;H-06-05-4;
A-05-02-5;13;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001607
A-05-02-6;30;S-06-08-7;
A-05-02-6;13;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000002107
A-05-02-7;21;H-11-09-3;
A-05-02-7;49;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000800
A-05-02-8;2;E-02-08-7;
A-05-02-9;5;S-05-03-9;
A-05-03-1;75;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001323
A-05-03-2;1;H-01-04-7;
A-05-03-3;3;S-03-06-3;
A-05-03-4;9;B-13-04-7;
A-05-03-4;60;B-13-04-7;
A-05-03-5;1;I-01-06-9;
A-05-03-6;3;L-06-01-2;
A-05-03-7;3;I-01-07-3;
A-05-03-8;20;K-14-08-6;
A-05-03-9;4;L-08-06-2;
A-05-04-1;20;E-04-02-7;
A-05-04-1;6;E-04-02-7;
A-05-04-2;50;J-01-05-1;
A-05-04-3;1;L-01-02-2;
A-05-04-3;3;L-01-02-2;
A-05-04-4;20;J-08-02-2;
A-05-04-5;9;G-06-10-3;
A-05-04-6;1;B-08-03-5;
A-05-04-7;7;J-11-09-7;
A-05-04-8;21;J-08-02-9;
A-05-04-8;69;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001039
A-05-04-9;100;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000047
A-05-05-1;11;I-03-01-7;
A-05-05-1;42;I-03-01-7;
A-05-05-2;10;K-09-03-9;
A-05-05-2;23;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000001143
A-05-05-3;3;I-05-04-5;
A-05-05-4;49;B-14-09-2;
A-05-05-5;14;B-10-07-8;
A-05-05-6;1;L-09-10-6;
A-05-05-7;24;J-11-07-6;
A-05-05-8;1;B-05-07-5;
A-05-05-9;40;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000047
A-05-06-1;13;B-04-03-5;
A-05-06-2;90;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000626
A-05-06-3;1;G-14-02-8;
A-05-06-3;3;G-14-02-8;
A-05-06-4;3;K-13-01-5;
A-05-06-5;5;I-11-05-4;
A-05-06-6;13;I-02-02-7;
A-05-06-7;34;L-03-10-5;
A-05-06-8;1;G-13-07-7;
A-05-06-9;5;N-03-04-4;
A-05-07-1;3;G-06-05-9;
A-05-07-2;4;S-02-09-8;
A-05-07-3;14;J-01-01-2;
A-05-07-4;8;B-16-03-9;
A-05-07-5;30;J-05-04-8;
A-05-07-6;1;L-09-02-2;
A-05-07-7;72;M-03-03-4;
A-05-07-7;28;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000024
A-05-07-8;29;M-01-07-1;
A-05-07-9;8;E-04-01-5;
A-05-08-1;24;N-13-09-3;
A-05-08-2;1;J-14-01-9;
A-05-08-3;17;J-10-03-2;
A-05-08-4;30;M-07-09-3;
A-05-08-6;12;I-14-05-7;
A-05-08-6;22;POUMON_DELTA_DEMENAGEMENT;Conteneur_000000000000000963
A-05-08-7;6;H-08-08-6;
A-05-08-7;10;H-08-08-6;
A-05-08-8;1;K-09-10-8;
A-05-08-9;7;E-04-02-2;
A-05-09-1;2;B-04-01-6;
A-05-09-2;2;H-05-06-1;
A-05-09-3;7;N-09-04-1;
A-05-09-4;2;E-02-07-2;
